Time,Position,Error,Speed,Voltage
0.74549,5.92708,-17,114.583,2.14971,
0.756985,5.96319,-16,113.333,2.12595,
0.770246,5.99792,-15,112.083,2.13783,
0.796531,6.03264,-13,110.833,2.16158,
0.80638,6.06736,-11,109.167,2.17346,
0.832984,6.10139,-9,107.5,2.13783,
0.839162,6.10139,-9,107.5,2.13783,
0.874667,6.16667,-8,103.75,2.07845,
0.878509,6.16667,-5,103.75,2.13783,
0.909577,6.23056,-7,100.417,2.04282,
0.912063,6.23056,-7,100.417,2.04282,
0.930662,6.26181,-8,98.75,1.99531,
0.932631,6.26181,-6,98.75,1.99531,
0.96415,6.29306,-5,97.0833,1.98343,
0.966681,6.29306,-3,95.4167,1.99531,
0.986969,6.32292,-5,95.4167,1.9478,
0.989261,6.35347,-5,94.1667,1.9478,
1.02711,6.38333,-3,92.9167,1.92405,
1.036,6.41319,-1,92.0833,1.97967,
1.04865,6.44167,-6,90.8333,1.84848,
1.05504,6.44167,-4,90.8333,1.88426,
1.07119,6.46944,-6,89.5833,1.78886,
1.08546,6.46944,-5,88.3333,1.83656,
1.11023,6.52431,-1,86.6667,1.87234,
1.11472,6.52431,-1,86.6667,1.87234,
1.13824,6.55139,-3,85.4167,1.78886,
1.1405,6.55139,-3,85.4167,1.78886,
1.16561,6.57847,-3,83.75,1.72923,
1.16847,6.60486,-3,82.5,1.72923,
1.18105,6.60486,-6,82.5,1.6696,
1.18537,6.60486,-5,82.5,1.6696,
1.22029,6.65556,-1,80.4167,1.70538,
1.22441,6.65556,-1,80.4167,1.70538,
1.24362,6.67917,-3,79.1667,1.6219,
1.2457,6.67917,-3,79.1667,1.6219,
1.25745,6.70139,0,77.5,1.59804,
1.26553,6.70139,-2,77.5,1.59804,
1.28587,6.725,3,75,1.6219,
1.29102,6.74861,3,72.9167,1.6219,
1.30771,6.77222,2,71.25,1.56227,
1.31145,6.77222,2,71.25,1.56227,
1.32091,6.77222,1,71.25,1.52649,
1.32334,6.77222,1,71.25,1.52649,
