Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
3.44722, 1, -7, 118.333, 2.3695, 0.375
3.48889, 1, -14, 119.167, 2.33431, 0.375
3.52917, 1, -22, 120, 2.24047, 0.375
3.56875, 1, 2, 120.417, 2.46334, 0.375
3.60833, 1, -1, 120.833, 2.45161, 0.375
3.64861, 1, -7, 120.833, 2.3695, 0.375
3.68819, 1, -13, 120.417, 2.32258, 0.375
3.72778, 1, -19, 120, 2.26393, 0.375
3.76736, 1, -23, 119.583, 2.22874, 0.375
3.80556, 1, 2, 119.167, 2.46334, 0.375
3.84514, 1, -2, 118.75, 2.41642, 0.375
3.88542, 1, -8, 118.333, 2.35777, 0.375
3.92639, 1, -15, 118.333, 2.29912, 0.375
3.96597, 1, -21, 118.333, 2.27566, 0.375
4.00556, 1, 3, 118.75, 2.45161, 0.375
4.04444, 1, 1, 119.167, 2.45161, 0.375
4.08333, 1, -4, 119.167, 2.39296, 0.625
4.12292, 1, -9, 118.75, 2.38123, 0.375
4.1625, 1, -14, 118.333, 2.31085, 0.375
4.20208, 1, -20, 117.917, 2.2522, 0.375
4.24167, 1, 4, 117.917, 2.46334, 0.625
4.28125, 1, 1, 117.917, 2.42815, 0.375
4.32222, 1, -6, 118.333, 2.38123, 0.375
4.36458, 1, -16, 119.167, 2.28739, 0.375
4.40486, 1, -23, 120, 2.22874, 0.375
4.44514, 1, -1, 120.833, 2.42815, 0.375
4.48681, 1, -5, 121.667, 2.39296, 0.375
4.52708, 1, -12, 122.5, 2.32258, 0.375
4.56667, 1, -17, 122.5, 2.31085, 0.375
4.60694, 1, -24, 122.083, 2.21701, 0.375
4.64792, 1, -31, 121.667, 2.15836, 0.375
4.6875, 1, -8, 121.25, 2.35777, 0.375
4.72639, 1, -10, 120.833, 2.34604, 0.375
4.76528, 1, -14, 120, 2.31085, 0.375
4.80417, 1, -18, 119.167, 2.29912, 0.375
4.84306, 1, -22, 118.333, 2.24047, 0.375
4.88056, 1, 4, 117.5, 2.4868, 0.625
4.91875, 1, 2, 116.667, 2.42815, 0.625
4.95833, 1, -3, 115.833, 2.40469, 0.625
4.99722, 1, -7, 115.833, 2.39296, 0.625
5.03681, 1, -13, 115.833, 2.32258, 0.625
5.07569, 1, -17, 115.833, 2.31085, 0.625
5.11458, 1, 7, 116.25, 2.4868, 0.625
5.15417, 1, 4, 116.667, 2.42815, 0.625
5.19444, 1, -3, 117.5, 2.40469, 0.625
5.23542, 1, -9, 117.917, 2.35777, 0.625
5.27569, 1, -16, 118.75, 2.28739, 0.375
5.31667, 1, 5, 119.583, 2.46334, 0.375
5.35833, 1, 0, 120.417, 2.42815, 0.375
5.39792, 1, -5, 121.25, 2.39296, 0.375
