Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
1.38472, 1, 47, 115.833, 2.85054, 1.5
1.42431, 1, 44, 115.417, 2.82698, 1.5
1.46458, 1, 66, 115.833, 3.01544, 1.5
1.50556, 1, 59, 116.667, 2.95655, 1.5
1.54722, 1, 51, 118.333, 2.88587, 1.375
1.58681, 1, 45, 119.583, 2.85054, 1.375
1.62778, 1, 41, 120.417, 2.79164, 1.375
1.66736, 1, 35, 121.25, 2.74453, 1.375
1.70694, 1, 58, 121.25, 2.94477, 1.375
1.74653, 1, 52, 120.833, 2.89765, 1.375
1.78681, 1, 46, 120.417, 2.83876, 1.375
1.82778, 1, 42, 120, 2.77986, 1.375
1.86736, 1, 36, 119.583, 2.7563, 1.25
1.90694, 1, 60, 120, 2.96833, 1.25
1.94792, 1, 53, 120, 2.92121, 1.25
1.98889, 1, 44, 120, 2.82698, 1.25
2.02917, 1, 41, 120.417, 2.80342, 1.25
2.06806, 1, 36, 120.833, 2.7563, 1.25
2.10694, 1, 32, 120.417, 2.74453, 1.25
2.14583, 1, 56, 120, 2.93299, 1.25
2.18403, 1, 53, 119.167, 2.89765, 1.375
2.22222, 1, 51, 117.917, 2.90943, 1.375
2.25903, 1, 48, 116.667, 2.85044, 1.5
2.29792, 1, 46, 115.417, 2.82698, 1.5
2.33681, 1, 71, 114.583, 3.07331, 1.625
2.37639, 1, 65, 114.583, 2.9912, 1.5
2.41736, 1, 58, 115, 2.93255, 1.5
2.45833, 1, 50, 116.25, 2.88563, 1.5
2.50069, 1, 44, 117.917, 2.81525, 1.375
2.54167, 1, 37, 120, 2.74487, 1.375
2.58125, 1, 60, 121.25, 2.95601, 1.375
2.62222, 1, 53, 122.083, 2.88563, 1.375
2.66319, 1, 44, 122.5, 2.81525, 1.375
2.70417, 1, 41, 122.5, 2.78006, 1.375
2.74444, 1, 34, 122.083, 2.73275, 1.25
2.78333, 1, 58, 121.667, 2.94477, 1.25
2.82361, 1, 51, 121.25, 2.88587, 1.25
2.86458, 1, 45, 121.25, 2.82698, 1.375
2.90486, 1, 41, 120.833, 2.72097, 1.25
2.94514, 1, 35, 120.417, 2.70919, 1.25
2.98542, 1, 28, 120.417, 2.68563, 1.25
3.025, 1, 52, 120.417, 2.92121, 1.25
3.06458, 1, 46, 120.417, 2.83876, 1.25
3.10347, 1, 41, 120, 2.79164, 1.25
3.14375, 1, 36, 119.583, 2.77986, 1.25
3.18264, 1, 33, 119.167, 2.72097, 1.375
3.22014, 1, 59, 118.333, 2.96774, 1.375
3.25764, 1, 58, 117.5, 2.93255, 1.5
3.29653, 1, 53, 116.667, 2.90909, 1.5
3.33681, 1, 46, 115.833, 2.82698, 1.5
3.37708, 1, 43, 115.417, 2.80352, 1.5
3.41736, 1, 37, 116.25, 2.74487, 1.375
3.45764, 1, 59, 117.083, 2.96774, 1.375
3.49861, 1, 50, 118.75, 2.86217, 1.375
3.54028, 1, 42, 120, 2.7566, 1.375
3.57986, 1, 39, 121.25, 2.76833, 1.25
3.61944, 1, 35, 121.667, 2.73314, 1.375
3.65903, 1, 58, 121.667, 2.93255, 1.5
3.7, 1, 50, 121.25, 2.8741, 1.5
3.74028, 1, 44, 120.833, 2.85054, 1.375
3.77986, 1, 39, 120.417, 2.77986, 1.375
3.81944, 1, 35, 120, 2.74453, 1.375
3.85903, 1, 30, 120, 2.69741, 1.375
3.89792, 1, 55, 119.583, 2.94477, 1.25
3.93681, 1, 50, 118.75, 2.86217, 1.375
3.97778, 1, 42, 118.333, 2.7566, 1.25
4.01806, 1, 39, 118.333, 2.76833, 1.25
4.05833, 1, 33, 118.75, 2.73314, 1.25
4.09722, 1, 57, 119.167, 2.92082, 1.25
